type	footnote	line_item	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Revenues	1	Sales and Use Tax	1699636	1915600	2109732	2031239	1761224	1733412	1812011	1934035	2094132	2121249
Revenues	1	Individual Income Tax	1946593	2324365	2589252	2560394	2340400	2124173	2332562	2518373	2865195	2916015
Revenues	1	Corporate Tax	209304	379624	411929	410586	249177	266961	230888	285541	329726	322748
Revenues	2	Motor and Special Fuel Taxes	336417	344902	366446	357664	337529	341196	352918	353299	351197	359176
Revenues	NA	Other Taxes	275715	316994	320204	333542	354713	328753	397248	414744	400111	432178
Revenues	NA	Federal Contracts and Grants	2366786	2524022	2480016	2574585	3207110	3713771	3626354	3561512	3489515	3463045
Revenues	NA	Charges for Services/Royalties	330998	405013	412411	468451	463248	463436	528568	625831	677119	706125
Revenues	NA	Licenses, Permits, and Fees	121382	113684	120349	121402	128212	179947	188998	183630	185976	188653
Revenues	NA	Federal Mineral Lease	82704	156851	145985	134884	172642	129377	135979	183739	138122	158193
Revenues	NA	Intergovernmental	4104	9109	23332	12884	9446	28659	18537	34407	32704	7211
Revenues	3	Investment Income	71538	116215	240988	46716	-132523	118541	274797	46133	221139	353653
Revenues	NA	Miscellaneous and Other	231708	239901	261617	373047	382614	356004	332722	393010	305267	327880
Revenues	NA	Total Revenues	7676885	8846280	9482261	9425394	9273792	9784230	10231582	10534254	11090203	11356126
Expenditures	NA	General Government	178891	239838	268775	319389	325076	313981	316440	356752	362845	374134
Expenditures	NA	Health and Human Services	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Expenditures	NA	Human Services and Juvenile Justice Services	576871	593392	627598	677234	701099	667192	646411	645418	669091	692277
Expenditures	NA	Corrections	198030	205310	229198	251216	255448	235411	238090	245829	251118	266246
Expenditures	NA	Public Safety	163072	179622	172427	196008	213038	199731	207426	239453	255727	271716
Expenditures	NA	Courts	107807	114111	119650	131261	129125	136373	128676	127066	129693	132886
Expenditures	4	Health and Environmental Quality	1461618	1634619	1620400	1648841	1812488	1873264	2008356	2141835	2252166	2434410
Expenditures	NA	Higher Education-State Administration	39121	43505	49064	64587	60224	52084	48836	49359	51901	48920
Expenditures	5	Higher Education-Colleges and Universities	637087	675267	708063	793283	782650	734440	718026	721074	735438	781998
Expenditures	NA	Employment and Family Services	417037	413380	406532	432955	519741	673329	703786	706181	781178	703441
Expenditures	NA	Natural Resources	123195	140592	171014	174120	178306	161640	189430	153698	178330	184465
Expenditures	NA	Heritage and Arts	87621	85231	108592	132413	140453	178258	160338	155575	22428	24231
Expenditures	NA	Business, Labor, and Agriculture	85115	89255	91162	96072	101966	96579	93149	99689	99828	105915
Expenditures	6	Public Education	2168896	2322871	2547421	2960873	3035519	3002318	3059351	2999706	3097161	3202007
Expenditures	NA	Transportation	797869	761744	813315	1030793	1249080	1204955	946692	1064449	951277	902788
Expenditures	NA	Capital Outlay	139488	347048	560108	566955	607794	1007219	1236168	973206	524582	380930
Expenditures	6	Debt Service - Principal Retirement	183911	152746	159862	193292	180613	189041	223952	266300	309268	329659
Expenditures	NA	Debt Service - Interest and Other Charges	89768	82690	75149	139883	64675	113876	142452	168047	154472	150101
Expenditures	NA	Total Expenditures	7455397	8081221	8728330	9809175	10357295	10839691	11067579	11113637	10826503	10986124
Other Financing Sources (Uses)	NA	General Obligation Bonds Issued	140635	NA	NA	75000	498810	982170	1034970	609920	33240	226175
Other Financing Sources (Uses)	NA	Revenue Bonds Issued	18430	NA	NA	NA	NA	101595	NA	5250	1900	NA
Other Financing Sources (Uses)	NA	Refunding Bonds Issued	22066	NA	NA	NA	NA	NA	196610	NA	22612	NA
Other Financing Sources (Uses)	NA	Premium on Bonds Issued	12039	NA	NA	1557	45445	65853	94689	92558	8346	24656
Other Financing Sources (Uses)	NA	Payment to Refunded Bond Escrow Agent	-23212	NA	NA	NA	NA	NA	-234873	NA	-24358	NA
Other Financing Sources (Uses)	NA	Leases/Contracts Issued	NA	NA	NA	2131	2010	11122	NA	NA	2824	NA
Other Financing Sources (Uses)	NA	Sale of Capital Assets	18070	50679	47193	30824	28035	13966	20256	22158	31243	24596
Other Financing Sources (Uses)	NA	Transfers In	852989	935723	3721041	4550400	3606534	929044	1123598	1097387	1360691	1489272
Other Financing Sources (Uses)	NA	Transfers Out	-839392	-952798	-3674615	-4512711	-3557759	-873367	-1077907	-1052391	-1283764	-1445189
Other Financing Sources (Uses)	NA	Prior Period Adjustments and Restatements	NA	942	NA	NA	NA	NA	NA	NA	NA	NA
Other Financing Sources (Uses)	NA	Total Other Financing Sources (Uses)	201625	34546	93619	147201	623075	1220383	1159343	774882	152734	319510
